category,app_count,developer_count,review_count,reviews_per_app,avg_rating,one_star_rate_pct,reply_rate_pct,monthly_plan_count,median_monthly_price,free_entry_share_pct,top_app_review_share_pct,demand_score,competition_score,customer_gap_score,service_gap_final_score,monetization_final_score,pricing_pressure_final_score,concentration_final_score,opportunity_score
Mobile responsive,609,470,131063,215.21,3.95,1.5,31.55,960,15.0,26.38,7.6,29.63585617068781,62.7750835792645,17.10369120662979,67.84432790505106,6.950906187070342,71.34781840664193,92.73046812589871,39.4157020450435
Auto-sync,52,52,5941,114.25,3.41,4.39,38.09,51,19.95,40.0,32.05,5.653425992209692,99.01807664092556,38.002669151159566,58.818658570245645,10.388167488368863,47.288464935523756,53.66671992331044,41.30535587969106
Shipping labels,143,135,10842,75.82,3.71,4.35,18.2,202,29.99,30.72,8.59,4.602664272495308,92.51409787593869,32.15208006334338,86.26828595086944,17.35990556211374,63.68132838721074,91.1487458060393,45.056219795046744
Custom messages,85,78,16279,191.52,4.18,1.77,28.84,138,14.99,24.74,32.04,10.871432964160832,96.82188796738589,13.724445115929017,71.58432238476401,6.943962224845497,74.24483306836248,53.68269691644033,39.42352792914655
Custom pricing,261,239,68221,261.38,4.2,2.94,42.63,508,29.0,20.89,7.72,22.139582715155168,84.22404282842311,17.64885274063628,52.553132762903665,16.672453301854038,81.04575163398692,92.53874420833999,42.34488085628549
Greetings,116,108,15803,136.23,3.51,2.8,19.89,223,49.99,24.92,36.29,8.20211532903776,94.53789206654982,30.251638842024867,83.93596467016285,31.24783001180474,73.9268680445151,46.89247483623582,46.13017312679892
Toys and games,121,116,60231,497.78,3.47,2.59,57.26,117,39.99,42.44,16.34,32.010890373289214,94.04425641054358,30.239468184221785,32.362682859508695,24.30386778695924,42.9782723900371,78.76657613037227,45.828558392290596
Automotive,72,68,54064,750.89,3.65,2.57,67.39,95,45.0,31.91,18.2,42.94715847589491,97.67744843845375,26.743831434990504,18.382555892906424,27.78279286160683,61.57922628510864,75.79485540821219,48.495424196860284
Dynamic pricing,216,207,53731,248.75,4.17,2.37,42.61,399,29.0,22.33,9.8,19.318200723765116,87.08197767859643,16.122064703133876,52.580734198178305,16.672453301854038,78.50203144320793,89.21552963732225,41.61517812640979
Design tools,73,72,46723,640.04,3.41,3.75,56.33,53,31.8,51.82,21.02,36.613312395888556,97.48363414401953,35.64799659781152,33.64614959977918,18.61676272481078,26.40876170287936,71.28934334558237,46.821688868460974
Cart drawer,146,129,31973,218.99,4.15,1.58,31.11,269,19.99,22.57,14.61,14.574777445416856,92.6458087168833,13.595743906977,68.45155948109301,10.415943337268246,78.07807807807808,81.53059594184374,41.2799860358219
Custom icons,78,75,13733,176.06,4.06,1.98,31.04,145,14.99,25.0,16.21,9.753979044542735,97.18809674474865,16.778440868789126,68.54816450455424,6.943962224845497,73.78555025613849,78.97427704106087,40.76620443288546
Multi-origin,52,48,5046,97.04,4.21,3.96,33.08,82,29.0,25.66,10.84,4.707700867972045,99.17655524631382,21.21149805409368,65.73281810654154,16.672453301854038,72.61967850203145,87.55392235181338,42.33736572569902
Drinkware,51,51,45751,897.08,3.76,3.59,55.78,43,35.0,48.81,21.46,48.53302546034531,99.09303198131857,28.405336064037247,34.40518906983162,20.838830636761337,31.725843490549366,70.58635564786707,49.31488343357568
Shipping solutions - Other,280,257,2660,9.5,2.11,6.43,31.09,159,27.0,48.74,16.43,0.23037009925291194,82.83951101230309,70.22301681229489,68.47916091636765,15.283660856884937,31.849496555378906,78.62278319220323,45.33417729728144
Review migration,87,83,93335,1072.82,4.36,1.12,29.64,146,19.0,27.27,10.6,64.10252524423124,96.55311833255867,7.91092757199573,70.48026497377863,9.728491077008542,69.77565801095213,87.93737018693082,53.311392060791974
Transactions,53,45,10202,192.49,4.32,2.41,11.97,128,39.45,15.23,27.0,9.982426725902254,99.2600785113091,13.417520711102156,94.86613303891802,23.928893826817585,91.04398516163222,61.735101453906374,45.746028234649195
Cash back programs,54,54,10542,195.22,3.62,1.58,44.85,101,69.0,18.9,22.32,10.162899529125987,98.86816596013955,23.671789534353426,49.48937344741926,44.44830220123603,84.56103161985516,69.21233423869627,46.35356694903499
Social sharing,98,90,16804,171.47,4.04,2.51,28.69,172,29.99,26.89,13.25,10.010731837338948,95.8870881936239,19.108632213912603,71.79133314932376,17.35990556211374,70.44691750574103,83.70346700750919,42.99246541575398
VIP tiers,92,91,29536,321.04,3.95,1.84,55.66,180,74.0,23.31,22.11,18.99171283338863,96.05948267655245,18.354611000595945,34.57079768147943,47.92028331365878,76.77088853559442,69.54785109442403,45.591806190474514
Stock replenishment,68,64,4697,69.07,4.01,1.79,27.27,156,50.0,14.29,44.26,3.3407116808680573,97.97726980002577,17.029967796719248,73.75103505382279,31.254773974029582,92.70446917505741,34.15881131171113,42.24310906539117
One-click upsell,65,63,11515,177.15,4.0,1.79,46.2,121,19.99,21.43,14.95,9.464064100804897,98.12289651851064,17.220081865160303,47.62627656638144,10.415943337268246,80.0918565624448,80.98737817542738,39.813592596057404
Chat assignment,73,72,14111,193.3,3.99,2.99,26.36,158,50.0,23.19,40.64,10.621605901243676,97.48363414401953,21.82520697112896,75.00690035881865,31.254773974029582,76.98286521815933,39.94248282473238,44.5523432324715
Insights,57,54,4005,70.26,3.98,1.42,25.92,111,49.99,20.57,51.91,3.2901682724701287,98.76215889300174,16.23901493213809,75.61413193486061,31.24783001180474,81.61102278749337,21.93641156734303,41.24873624614409
Auto-updates,55,51,6039,109.8,3.43,6.84,25.48,112,29.99,22.6,33.02,5.459549278191501,98.95168922513483,46.63642188256294,76.22136351090256,17.35990556211374,78.02508390743685,52.116951589710816,47.215733501352126
Food and drinks,57,54,20428,358.39,3.59,2.95,71.21,72,38.97,29.13,48.16,19.344789691198635,98.76215889300174,29.2826026741873,13.110681755451282,23.595583640024998,66.4900194311959,27.92778399105289,40.016445628898786
Pixel management,77,62,35506,461.12,4.29,4.74,20.11,136,29.99,23.16,27.7,26.487200412997883,97.73848790130647,22.560342680958094,83.63234888214187,17.35990556211374,77.03585938880056,60.61671193481387,48.531415508414355
Event tracking,162,150,13088,80.79,3.38,2.23,55.38,292,39.99,17.38,12.81,5.181429646554124,91.24842501385987,30.625991488933096,34.95721777532431,24.30386778695924,87.24606959901078,84.40645470522448,41.394168872985205
Print and export,67,56,9813,146.46,4.03,2.86,30.98,130,16.75,24.42,15.1,7.761287336314777,98.32956269984825,20.58645783496588,68.63096881037814,8.166099576418304,74.81010422186893,80.74772327847899,41.589429133559484
Store data importer,176,152,9773,55.53,2.72,6.28,23.42,222,24.99,32.13,20.4,3.485560588557731,90.67448606452263,58.074182257698986,79.06431134418989,13.887924449690994,61.19060236707295,72.27991691963572,47.284269577791825
Inventory,82,78,9633,117.48,3.49,5.77,22.22,154,24.99,25.84,20.7,6.372863758779182,96.92789503452369,41.55901929678778,80.72039746066795,13.887924449690994,72.30171347818407,71.80060712573894,46.65094324967369
Surveys,201,192,49296,245.25,3.78,1.61,32.46,352,39.0,24.63,20.06,18.471822895353938,88.20630778449149,20.74033971523459,66.5884626000552,23.616415526699537,74.43914502738032,72.82313468605209,43.971707798465765
Custom fields,97,90,22400,230.93,3.89,2.37,22.4,195,15.0,22.83,23.29,13.663229637855265,95.92242388266983,21.445258619483685,80.47198454319624,6.950906187070342,77.61879526585409,67.66256590509667,43.24324635082223
Order updates,364,322,68538,188.29,3.63,2.95,20.39,614,49.0,24.91,8.37,18.75642605426669,77.296035794885,28.522146400423036,83.245928788297,30.560377751545033,73.94453276806217,91.50023965489694,47.03363111533769
Tracking pages,80,76,3077,38.46,3.42,6.47,14.72,87,29.99,35.07,17.78,1.6543016579814933,97.07780571530971,45.46524088109967,91.07093568865581,17.35990556211374,55.99717364423247,76.46588911966768,47.2564172751549
AI optimization,63,61,32365,513.73,3.77,5.44,14.96,123,89.0,22.5,30.38,28.474439156104047,98.27280719929664,35.02169734511789,90.7397184653602,58.336226650927024,78.20173114290762,56.334877776002564,58.3287469880295
Animation and effects,65,51,1162,17.88,3.25,5.25,11.96,62,4.99,26.97,14.63,0.3934789549799974,98.59833233467546,44.208585489778045,94.87993375655535,0.0,70.30559971736443,81.49864195558396,45.73795876293865
Cookie consent,50,50,8325,166.5,3.15,0.83,41.43,71,11.99,26.47,25.55,8.473423854038877,99.16798732171156,29.847768852628725,54.20921887938172,4.860773557391848,71.18883589471825,64.05176545774086,40.83357518754768
UTM tracking,114,109,16471,144.48,3.82,1.99,50.01,251,79.0,17.36,16.61,8.692218650691947,94.56894379329461,21.377970270020732,42.36820314656362,51.392264426081525,87.28139904610492,78.33519731586516,45.58892727200315
File uploads,213,193,83193,390.58,4.09,2.14,26.18,398,19.99,25.6,11.97,30.508578603798973,87.7426598645932,16.79676680180294,75.25531327629037,10.415943337268246,72.7256668433139,85.74852212813548,45.54666226102072
Numbers,66,63,24393,369.59,4.22,2.96,27.85,126,19.0,25.44,16.14,20.48043839160738,98.0875608294647,17.34220812104629,72.9505934308584,9.728491077008542,73.00830242006712,79.08611599297012,44.56511731329304
Auto-position,57,49,28622,502.14,4.15,0.96,16.45,65,6.99,31.58,34.81,27.354618484376957,98.96025714973709,11.314654870921077,88.68341153739995,1.3887924449690994,62.16216216216217,49.25706981945998,43.54125864479234
Import and export,428,391,229272,535.68,4.06,1.89,27.59,787,24.99,25.74,4.34,59.78645631550697,72.30079575299737,16.447315040974555,73.30941208942865,13.887924449690994,72.47836071365484,97.9389678862438,50.63123254406258
Discount offers,57,56,12985,227.81,3.91,1.73,20.31,93,29.0,30.22,28.06,12.068844667883067,98.6829195903076,18.7103579292535,83.35633452939553,16.672453301854038,64.56456456456456,60.04154018213772,43.56267335643576
SKUs,190,156,19734,103.86,3.64,3.52,21.87,369,49.0,18.83,10.04,7.2867264968844045,90.02130781249124,30.429162574807577,81.20342257797405,30.560377751545033,84.68468468468468,88.83208180220483,47.2920129465545
Bulk discounts,188,169,32716,174.02,3.88,2.6,27.18,336,19.99,22.94,8.6,12.577494604717367,89.57692372307125,22.48158313678421,73.87524151255866,10.415943337268246,77.42448330683624,91.1327688129094,42.933853280983826
Cross-sell discounts,66,66,13127,198.89,4.12,2.17,32.09,111,29.0,25.5,17.8,10.732757168482971,97.9687018754235,16.336799872417934,67.09908915263593,16.672453301854038,72.90231407878467,76.43393513340789,42.221879012840354
Images and media - Other,122,110,3355,27.5,3.08,3.55,11.98,145,10.0,25.24,13.23,1.1824322789881463,94.24663862958005,41.18592568344539,94.8523323212807,3.4789250746475937,73.36159689100866,83.73542099376897,45.244043819916214
Dashboard,67,59,15027,224.28,3.85,2.18,32.05,112,14.99,23.29,14.81,12.21712438040469,98.21070374580704,21.506671478972738,67.1542920231852,6.943962224845497,76.80621798268857,81.21105607924588,42.6556433791992
Memberships,116,111,27431,236.47,3.83,1.76,55.03,215,49.99,23.78,14.23,14.69705063324319,94.4190331125086,20.34164575272022,35.44024289263041,31.24783001180474,75.94064652888181,82.13772168077968,42.76151563287339
Dates,54,52,23277,431.06,4.42,2.82,27.83,105,19.0,25.0,16.91,23.195109117522303,98.94740526283368,13.024842131180115,72.97819486613304,9.728491077008542,73.78555025613849,77.85588752196837,44.532391795253275
United States,133,127,82705,621.84,3.73,3.09,60.45,146,39.99,38.27,11.9,41.29223589929123,93.18441197717459,27.136090337057276,27.960253933204513,24.30386778695924,50.344462109167985,85.86036108004473,47.639006158494155
Upsell emails,95,84,62040,653.05,3.31,2.2,18.16,155,39.99,31.47,16.05,39.57971739682684,96.23081316884412,31.846414692082355,86.3234888214187,24.30386778695924,62.35647412118001,79.22990893113916,54.86762312419372
Time slots,73,69,14831,203.16,4.18,2.1,30.14,122,19.99,25.75,13.94,11.195302840839693,97.60249309806073,14.938573151249106,69.79022909191278,10.415943337268246,72.46069599010775,82.60105448154657,41.60154089343613
POS rewards,55,55,23889,434.35,4.28,1.88,52.44,117,79.0,23.53,27.34,23.443706007849187,98.79321061974655,12.228013776625057,39.01462876069556,51.392264426081525,76.38226461755873,61.19188368749002,46.55418133647085
Custom listings,58,49,13550,233.62,4.23,5.42,37.3,106,38.5,22.46,14.72,12.428539071569014,98.92492146069114,26.202866679536786,59.90891526359371,23.26921741545726,78.27239003709592,81.35484901741492,45.59532848734134
Bulk import,65,58,6224,95.75,3.7,4.1,21.74,109,29.0,31.25,32.04,4.828288388357744,98.32099477524598,31.422400165632858,81.38283190725917,16.672453301854038,62.745098039215684,53.68269691644033,43.61629201905204
Sales tax,51,44,10963,214.96,4.52,3.03,16.36,136,39.0,14.47,25.13,11.154525468770048,99.37036954074804,11.896328378336802,88.8076179961358,23.616415526699537,92.38650415121003,64.72279916919635,45.320660245648305
Fixed bundles,115,113,47214,410.56,4.2,1.92,32.64,185,24.99,23.14,19.07,25.913695517771586,94.37512949886042,13.896093358737826,66.3400496825835,13.887924449690994,77.07118883589472,74.4048570059115,44.423664378764855
Data import and export,111,90,14232,128.22,3.78,3.46,22.53,212,50.0,18.18,13.92,7.584413137373417,95.42772423602672,27.5468150647563,80.29257521391112,31.254773974029582,85.83289171524466,82.63300846780635,47.63177977114806
Carrier selection,137,128,26047,190.12,3.41,3.92,18.7,143,39.0,38.1,18.22,12.307869606879876,93.00344956964378,36.273456494794594,85.57825006900359,23.616415526699537,50.64476240946829,75.76290142195239,47.35301914208397
Custom text,310,248,71998,232.25,3.93,1.85,23.99,462,12.25,26.53,13.84,21.352643650319784,82.13601720304861,18.77163089612413,78.27767043886283,5.041316575237831,71.08284755343578,82.76082441284551,41.795838660900515
Forecasting,114,109,6621,58.08,3.63,1.87,38.33,220,66.0,19.2,31.4,3.1205639619725223,94.56894379329461,24.5486364666482,58.48744134695004,42.36511353378238,84.03108991344286,54.705224476753486,43.74398392675387
Targeting,255,230,131231,514.63,3.94,1.91,17.15,462,29.99,24.92,7.59,43.72081721288076,84.79263382482233,18.802267379559446,87.71736130278775,17.35990556211374,73.9268680445151,92.74644511902859,51.35857216686957
Trust,60,55,28443,474.05,3.95,0.96,16.94,70,8.0,28.0,35.02,26.00813822297251,98.61653217451686,15.116936239742374,88.0071763731714,2.0901326296784943,68.48613319201554,48.92155296373223,44.23335007815127
Gifts,122,118,38009,311.55,4.31,2.29,38.52,260,48.5,22.09,10.39,19.849135613288734,93.92968141880351,13.166133675790473,58.22522771184101,30.213179640302755,78.92598480833774,88.27288704265857,45.09589023202031
Real-time tracking,360,341,57906,160.85,3.57,2.74,29.26,569,49.0,24.81,8.2,15.832950450822423,76.68460517547445,28.890203879502103,71.00469224399669,30.560377751545033,74.12118000353294,91.77184853810513,45.052376737914244
Animations,108,89,48299,447.21,3.83,0.72,13.7,132,7.99,30.73,20.63,27.80143586178338,95.5733509545116,16.515302853529636,92.47860888766216,2.0831886674536495,63.66366366366366,71.91244607764818,45.707234403003945
Countdown timer,156,145,37083,237.71,3.59,1.56,22.84,237,10.0,25.99,26.86,16.239608160033338,91.65853740487084,24.1685482223845,79.86475296715429,3.4789250746475937,72.03674262497792,61.95877935772488,42.43340932250711
Gift wrap,89,82,33704,378.7,4.41,1.71,40.02,166,19.95,26.55,15.62,22.34008733994004,96.52206660581388,9.131070989908146,56.155120066243434,10.388167488368863,71.04751810634164,79.91691963572455,41.4376083711124
Product content,101,97,2449,24.25,2.63,3.59,22.46,171,25.0,27.23,15.35,0.8905007466127584,95.5037435670566,49.88822579787755,80.38918023737234,13.894868411915839,69.84631690514044,80.34829845023167,46.93389811293324
Quantity breaks,189,170,61327,324.48,4.26,1.93,32.19,329,25.49,23.84,14.68,24.04221894088867,89.50196838267823,12.79220070673751,66.96108197626276,14.23512256093327,75.83465818759936,81.4187569899345,43.16343589374827
Custom pop-ups,137,124,68934,503.17,4.15,1.1,20.56,232,24.99,23.73,14.45,33.60236712417637,93.16192817503206,11.829739491965963,83.01131658846259,13.887924449690994,76.02897014661721,81.78622783192203,47.67400553967056
Business hours,98,97,19539,199.38,4.07,2.48,22.26,207,39.0,25.45,29.35,11.741835032273313,95.60975063419443,18.427914732651214,80.66519459011869,23.616415526699537,72.99063769652005,57.98050806838153,43.900530907699334
SEO,426,369,117289,275.33,3.66,1.76,28.88,681,19.0,26.01,8.49,30.340526321961175,73.24309946072475,23.57358491621831,71.52911951421474,9.728491077008542,72.00141317788376,91.30851573733824,43.72615051461276
Delivery and pickup,345,308,15334,44.45,2.7,3.18,36.4,316,14.99,35.71,10.47,3.8205034179609463,78.52208900561675,47.048965214301504,61.15097985095225,6.943962224845497,54.86663133721957,88.14507109761942,40.37661413903789
Pricing - Other,65,61,1434,22.06,3.12,5.3,55.37,108,19.99,13.49,35.84,0.631578437909828,98.20213582120478,46.8640271727422,34.97101849296163,10.415943337268246,94.11764705882354,47.611439527081004,41.31707488744848
Sticky cart,93,87,23570,253.44,4.22,1.28,31.32,168,19.0,23.42,20.16,14.900104673103653,96.1826255928948,11.16119266850766,68.16174441070936,9.728491077008542,76.57657657657657,72.66336475475316,40.93123498974511
Anti theft,59,59,2772,46.98,3.69,3.5,12.77,58,5.0,22.78,35.17,2.007449787593529,98.49338925817452,29.405008715310128,93.76207562793266,0.0069439622248453495,77.70711888358947,48.68189806678382,41.778242046240976
Carousels,159,146,87853,552.53,4.18,1.42,28.19,269,24.99,27.91,11.26,38.82950323974184,91.51291068638596,12.436733563316801,72.48136903118962,13.887924449690994,68.64511570393924,86.88288864035789,47.60503044766348
Branded portal,54,54,16976,314.37,4.07,1.56,30.72,98,59.0,20.16,23.26,16.746985104295394,98.86816596013955,15.043072937213392,68.98978746894838,37.504339976390526,82.33527645292351,67.71049688448633,46.99591246576835
Upsell,74,72,6808,92.0,3.72,3.08,33.48,178,62.5,20.18,27.34,4.742019409714436,97.4482984549736,27.289412646852274,65.18078940104886,39.93472675508645,82.29994700582935,61.19188368749002,45.815926560827606
Referrals,103,98,77788,755.22,3.96,1.46,38.0,205,59.0,23.72,12.72,46.79886960795568,95.39345253761766,16.76641010360448,58.94286502898151,37.504339976390526,76.04663487016428,84.5502476433935,53.68147155526797
Real-time status,100,77,14385,143.85,3.74,2.86,18.97,193,49.0,18.6,13.77,8.341841551585963,96.33147228304391,26.09976581975675,85.20563069279602,30.560377751545033,85.09097332626745,82.87266336475476,48.07450957501909
Media galleries,74,72,79503,1074.36,4.47,1.33,30.0,120,29.0,28.82,12.44,62.04767953643015,97.4482984549736,6.592299750711362,69.98343913883522,16.672453301854038,67.03762586115528,84.99760345103051,53.42101290001545
Page views,117,109,10978,93.83,3.4,2.39,35.41,211,49.0,19.34,24.92,5.4692301193637505,94.46293672615681,30.834431490387978,62.51725089704665,30.560377751545033,83.78378378378378,65.05831602492411,44.704667916021705
Fixed pricing,259,235,65877,254.35,4.12,2.18,37.64,478,24.99,21.6,13.67,21.449020069801918,84.45319281190325,16.373591631064,59.43969086392492,13.887924449690994,79.7915562621445,83.03243329605368,41.69596913779998
Announcement bar,216,189,75047,347.44,3.93,1.2,29.22,324,15.0,26.89,13.26,27.230226682265638,87.79513140284365,16.380166584130016,71.05989511454595,6.950906187070342,70.44691750574103,83.68749001437929,43.49796208348231
Geolocation,359,306,149545,416.56,3.9,1.82,17.94,612,19.99,23.73,6.66,41.93240709013737,78.10662866166777,19.23159782550914,86.62710460943968,10.415943337268246,76.02897014661721,94.23230548010865,48.68891281284022
Blogs,171,157,36297,212.26,3.51,1.63,39.63,252,19.0,26.2,27.42,14.923740292223904,90.65306625301697,25.94700308043546,56.693348054098806,9.728491077008542,71.66578343048931,61.064067742450874,40.81604996535463
Pixel tracking,120,108,16067,133.89,3.53,1.59,39.49,199,49.99,18.32,32.46,8.13284100045874,94.39654931036607,25.41960790896908,56.886558101021244,31.24783001180474,85.58558558558559,53.01166320498483,43.302134445383075
Theme sections,71,69,30023,422.86,3.79,1.29,41.48,105,19.0,31.45,33.15,23.84751635000744,97.6731644761526,19.3728893701195,54.14021529119514,9.728491077008542,62.391803568274156,51.909250679022215,41.9594377597919
Schemas,53,51,40808,769.96,4.66,1.75,28.65,98,25.0,21.09,22.13,41.8040058906438,99.0223606032267,4.525386313465784,71.84653601987303,13.894868411915839,80.69245716304539,69.51589710816425,47.939852433334615
Order sync,324,292,55069,169.97,3.48,3.75,20.54,425,38.0,31.42,17.86,15.824887391894439,79.8980528971345,34.317198118724065,83.03891802373724,22.922019304214984,62.44479773891538,76.33807317462853,45.480610294828494
Chat,349,325,28435,81.48,2.81,3.38,19.92,542,49.0,24.49,20.17,7.57396840072046,77.70721217653283,45.693545634371056,83.89456251725089,30.560377751545033,74.6864511570394,72.64738776162326,46.913848522750875
Product bundles,242,225,64186,265.23,3.91,1.95,40.03,402,29.0,22.75,14.03,21.69983472180745,85.45009603915486,19.519776619466896,56.141319348606125,16.672453301854038,77.7601130542307,82.45726154337754,42.54480187219535
Free products,79,79,36539,462.52,4.18,1.55,53.28,159,99.0,23.22,17.87,26.711796775639783,96.99428245031444,12.915026425715624,37.85536847916091,65.28018887577252,76.9298710475181,76.32209618149864,49.89997450984876
Drip campaigns,64,63,52274,816.78,4.01,2.62,11.33,110,49.0,29.19,19.05,45.76571705487111,98.15823220755658,20.0836837643425,95.74937896770632,30.560377751545033,66.38403108991344,74.43681099217127,56.28984912170422
Carrier-based,114,85,7068,62.0,3.67,4.12,31.68,171,25.0,22.07,13.54,3.3733676620740782,95.51981542562424,32.06632588824818,67.66491857576594,13.894868411915839,78.9613142554319,83.2401342067423,43.321364720765686
Custom audiences,81,71,27321,337.3,3.99,6.16,28.01,142,39.0,24.47,30.21,19.41455945346786,97.2405682829991,33.48819446193102,72.72978194866133,23.616415526699537,74.72178060413356,56.60648665921074,48.38124629939127
Add to cart,66,65,9719,147.26,4.02,1.95,30.23,142,49.0,20.99,22.9,7.784395159081212,98.00832152677057,17.4285218666152,69.66602263317692,30.560377751545033,80.86910439851617,68.28566863716249,44.04186504628084
Automations,564,491,251980,446.77,3.79,1.79,23.44,976,25.0,25.95,3.95,59.10388146700615,63.53317690804321,21.212477302422663,79.03670990891526,13.894868411915839,72.10740151916622,98.56207061830963,50.24647606839741
Reports,112,108,10637,94.97,4.03,2.43,31.84,222,43.95,23.39,17.5,5.470317559162186,94.67923482273356,19.00441221318516,67.44410709356886,27.053676827998057,76.6295707472178,76.91324492730467,42.58391181425701
Notification,61,58,25319,415.07,3.54,0.58,15.1,92,9.99,29.55,38.67,22.758335395789658,98.46233753142971,21.513526217275615,90.54650841843775,3.4719811124227484,65.74810104221868,43.089950471321295,44.70210718307267
Data sync,58,57,12182,210.03,3.87,2.21,20.46,143,25.0,22.04,16.98,11.110503692376808,98.6079642499146,21.236818618028803,83.14932376483577,13.894868411915839,79.01430842607314,77.7440485700591,44.98366298476045
Label customization,55,54,3781,68.75,3.59,8.91,13.33,68,49.48,35.24,20.87,3.1848190680181077,98.83283027109361,51.21049082724102,92.9892354402429,30.893687938337617,55.69687334393216,71.52899824253075,51.09913930076954
Advertising - Other,58,55,3134,54.03,2.85,7.47,24.54,55,20.0,32.22,51.34,2.394149429593357,98.68720355260874,59.980918646846675,77.51863096881038,10.422887299493091,61.031619855149266,22.847100175746917,45.84139399063924
Date picker,55,52,6650,120.91,3.58,2.78,42.47,75,18.0,27.1,24.15,6.075176802014417,98.91206957378775,28.84725684564528,52.77394424510074,9.03409485452399,70.07595831125244,66.28854449592586,40.5213932774378
Product recommendations,495,454,115488,233.31,3.66,2.29,33.7,938,39.99,23.87,8.62,28.09053001506548,67.43726655205435,25.523548124459662,64.87717361302788,24.30386778695924,75.78166401695813,91.10081482664962,44.092216910596235
Accounting,181,142,14583,80.57,3.3,2.91,14.8,316,29.95,16.93,18.89,5.401008394036621,90.89400413276363,34.648743624393916,90.96052994755728,17.33212971321436,88.04098215862922,74.69244288224957,46.29134535372249
Inventory optimization,224,207,8647,38.6,2.95,2.65,23.07,370,28.99,19.48,24.04,2.5174583714058265,86.79929216622894,40.34615029503353,79.547336461496,16.665509339629196,83.53647765412471,66.4642914203547,44.0130515859219
Multi-currency,371,333,86728,233.77,4.37,2.04,28.33,774,35.0,21.8,7.39,23.689269249037935,76.61286980674569,11.105655298992497,72.28815898426718,20.838830636761337,79.43826179120296,93.06598498162646,42.445875165989506
Digital products,144,134,37095,257.6,4.06,1.9,37.91,283,25.99,23.18,10.52,17.17537916785124,92.51838183823982,16.48410679962062,59.06707148771736,14.582320672175545,77.00052994170642,88.06518613196997,42.441683572816785
Selling online - Other,51,50,7857,154.06,3.42,3.56,16.43,57,90.0,32.14,65.64,7.817338077491876,99.13265163266564,34.758839115095256,88.71101297267458,59.03062287341157,61.17293764352588,0.0,49.516974279380634
Grid,56,51,8789,156.95,4.37,2.48,33.06,82,9.99,27.83,20.32,8.096364392280698,98.91635353608888,12.724492679419281,65.76041954181616,3.4719811124227484,68.78643349231585,72.40773286467487,38.50880778006638
Progress bar,82,76,29240,356.59,4.34,1.02,45.03,165,39.0,23.85,34.04,20.615425954209577,97.00713433721783,7.923238122417235,49.24096052994755,23.616415526699537,75.81699346405229,50.48729829046174,40.9217039502048
Retargeting,105,90,45542,433.73,4.12,4.38,20.03,179,39.0,23.4,21.59,26.744503251208357,95.63973837030234,24.46777853319792,83.7427546232404,23.616415526699537,76.61190602367073,70.37865473717846,49.97389502287358
Ads,263,231,60347,229.46,3.5,4.65,19.74,365,39.0,25.3,16.3,19.429890162358248,84.47032866110779,37.24822825998764,84.1429754347226,23.616415526699537,73.25560854972619,78.83048410289183,48.76224842991674
Conversion rates,256,230,72655,283.81,4.18,1.77,41.65,499,35.0,23.86,13.7,23.874655996850898,84.75729813577641,13.724445115929017,53.905603091360746,20.838830636761337,75.79932874050522,82.984502316664,42.12058910706256
Colors and fonts,72,65,21541,299.18,3.87,1.5,14.57,114,9.99,28.22,46.25,16.735774846013342,97.79630739249495,18.624603754158308,91.27794645321556,3.4719811124227484,68.09750927397985,30.979389678862432,42.07056270066107
Subscribe and save,53,51,13442,253.62,4.07,2.66,58.38,98,64.5,20.97,29.04,13.351020864044331,99.0223606032267,19.090166388280352,30.817002484129162,41.32351920005555,80.90443384561031,58.47579485540822,43.20950017778467
Audits,74,68,47271,638.8,4.43,1.75,28.76,155,25.0,24.52,19.11,36.639363021554814,97.60677706036188,8.898009887610282,71.69472812586254,13.894868411915839,74.63345698639816,74.34094903339192,47.16322152034627
Bulk shipping,59,57,37612,637.49,3.1,4.05,69.24,37,39.99,58.89,24.07,35.092442181927396,98.57262856086867,42.64528547886642,15.829423130002766,24.30386778695924,13.919802155096264,66.41636044096501,46.26202396427609
Sports products,139,133,79026,568.53,3.49,3.14,56.86,126,39.94,44.05,12.45,38.22331451515734,92.73467993481657,31.88278677287314,32.91471156500137,24.269147975835008,40.134251898957785,84.98162645790063,47.66695924104559
Agent analytics,53,52,6699,126.4,3.87,3.16,38.41,117,60.0,21.85,27.78,6.340492638044783,98.98274095187962,24.732035689404817,58.37703560585151,38.198736198875075,79.34993817346758,60.488895989774726,44.88753418634661
Color and font,352,306,65990,187.47,3.72,1.86,24.29,594,20.49,25.12,14.84,18.32607887240677,78.35397848498933,22.800818092032554,77.8636489097433,10.76314144851052,73.57357357357357,81.16312509985622,41.95015007542847
Hats,56,56,44541,795.38,3.62,3.59,58.22,50,36.95,45.65,22.05,43.57166985054573,98.71825527935354,31.066933022212147,31.03781396632624,22.19290327060621,37.30789613142556,69.64371305320338,48.63025246940458
Custom links and discounts,66,66,15792,239.27,3.89,2.08,35.19,116,68.5,20.92,25.01,13.03861838505493,97.9687018754235,20.378297618747848,62.82086668506762,44.101104089993754,80.9927574633457,64.91452308675507,47.121670804608875
QR codes,65,61,20547,316.11,4.46,1.6,22.73,124,49.99,24.4,29.21,17.377852623635093,98.20213582120478,7.775791302596133,80.01656086116478,31.24783001180474,74.84543366896308,58.20418597220004,44.8813601506143
